#{"t_start": 1750784690.3692365, "env_id": "None"}
r,l,t
290.43414,300,6.094636
176.92711,300,6.094763
223.00473,300,6.094782
328.44275,300,6.094792
301.47318,300,7.094351
285.03345,300,7.094463
254.7236,300,7.094479
230.79535,300,7.094497
194.5586,300,8.055902
286.09473,300,8.056013
203.78511,300,8.05603
322.9433,300,8.056041
334.4503,300,9.010705
306.69022,300,9.010817
340.4404,300,9.010834
403.81342,300,9.010844
260.3585,300,9.993716
241.61137,300,9.993856
324.5769,300,9.993873
300.45386,300,9.993883
404.27972,300,10.961259
329.47595,300,10.961431
186.8868,300,10.961448
223.6661,300,10.961458
223.19243,300,11.929919
170.55853,300,11.930029
262.49173,300,11.930046
266.02075,300,11.930056
228.73265,300,12.867372
417.98853,300,12.867477
250.32726,300,12.867493
192.01398,300,12.867502
247.73457,300,23.429022
239.98497,300,23.429153
184.40985,300,23.429169
434.73145,300,23.42918
192.46451,300,38.069829
247.75868,300,38.069996
267.4481,300,38.070015
276.34238,300,38.070027
247.47888,300,52.622105
235.72624,300,52.622254
232.6297,300,52.622272
161.73596,300,52.622282
211.5368,300,67.168368
393.01752,300,67.168528
246.59941,300,67.168546
391.39517,300,67.16857
